Strain,Stress (MPa)
0.00011021,4.338587292
0.002285352,126.3818653
0.001881439,102.4447484
0.001490251,82.50906975
0.002714858,149.4782739
0.00100891,51.51525722
0.000720852,33.3171658
0.001354607,69.04395458
0.003510917,193.659049
0.003083778,169.1255513
0.003980377,222.175121
0.004247296,239.3514195
0.004611747,257.8284434
0.004776026,276.3441733
0.004988432,295.8402856
0.00565804,320.3471277
0.006139561,347.2647767
0.006869337,368.9910678
0.007261526,387.9060807
0.008124517,407.2641755
0.009140759,424.9798116
0.010157615,442.3776511
0.012074362,460.059674
0.014896083,475.397391
0.018181894,483.565932
0.021478925,485.9341283
0.024782276,485.0354638
0.028090141,481.8033273
0.031401231,476.904425
0.034714771,470.7387809
0.038030633,463.3730654
0.041348945,454.740608
0.044668676,445.3747736
0.047990342,435.0088798
0.051314071,423.576256
0.054639477,411.276914
0.057966431,398.1775244
0.061295319,384.0780755
0.064625497,369.3119202
0.067807654,353.4847297
0.070840037,337.5032244
0.07372296,321.2044318
0.076304497,305.5463254
0.078736291,289.7176069
0.081018685,273.5407528
0.082732748,260.2767031
0.084213281,247.3637392
