Element,Lattice Constant (Å),Bandgap (eV),Band,"Mobility, n (cm2/V-s)","Mobility, p (cm2/V-s)",Dielectric Constant
Ge,5.64,0.66,I,3900,1900,16
Si,5.43,1.12,I,1450,450,11.9
SiC,3.08,2.99,I,400,50,10
AlSb,6.13,1.58,I,200,420,14.4
GaAs,5.63,1.42,D,850,400,13.1
GaP,5.45,2.26,I,110,75,11.1
GaSb,6.09,0.72,D,5000,850,15.7
InAs,6.05,0.36,D,33000,460,14.6
InP,5.86,1.35,D,4600,150,12.4
InSb,6.47,0.17,D,80000,1250,17.7
CdS,5.83,2.42,D,340,50,5.4
CdTe,6.48,1.56,D,1050,100,10.2
ZnO,4.58,3.35,D,200,180,9
ZnS,5.42,3.68,D,165,5,5.2
PbS,5.93,0.41,I,600,700,17
PbTe,6.46,0.31,I,6000,4000,30
